id,dominio,zona,full_dominio,registered,data_readed,data_updated,expire,registrante_id,registrante_created,registrante_changed,first_dns
636130,lalumiere,com.ar,lalumiere.com.ar,2024-11-26 16:56:36.335363-03,2025-11-24 01:14:09.100632-03,2025-11-24 01:14:09.143017-03,2025-11-26 00:00:00-03,361244,2024-11-26 16:56:35.950263-03,2024-11-26 16:56:39.933016-03,ns-665.awsdns-19.net
520135,cion,com.ar,cion.com.ar,2025-07-14 14:03:53.00037-03,2025-10-14 14:42:58.99516-03,2025-10-14 14:42:59.056707-03,2026-07-14 00:00:00-03,354090,2020-02-17 10:53:52.759965-03,2025-07-14 14:04:15.498309-03,ns3.aliasdns.net
980857,personalweb,ar,personalweb.ar,2019-10-27 23:14:24.453619-03,2025-10-31 21:36:39.728555-03,2025-10-31 21:36:39.75263-03,2026-10-27 00:00:00-03,93,2013-08-20 00:00:00-03,2025-11-20 12:15:19.228801-03,
660429,tuinmueble,com.ar,tuinmueble.com.ar,2014-11-27 00:00:00-03,2025-11-24 02:29:43.241157-03,2025-11-05 06:16:31.144323-03,2025-11-27 00:00:00-03,5019,2013-10-18 00:00:00-03,2025-11-14 01:11:34.478343-03,ns4.markmonitor.com
702320,2veinte,com.ar,2veinte.com.ar,2006-04-07 00:00:00-03,2025-11-19 12:03:28.114863-03,2025-11-19 12:03:28.151863-03,2026-05-07 00:00:00-03,86469,2013-12-02 00:00:00-03,2025-05-08 18:19:12.867136-03,ns1.lineadns.com
1491565,petitvalleycalamuchita,com.ar,petitvalleycalamuchita.com.ar,2023-07-04 17:48:52.590308-03,2025-10-04 12:10:20.918501-03,2025-10-04 12:10:20.918536-03,2026-07-04 00:00:00-03,346732,2023-07-04 17:48:52.255502-03,2025-08-01 23:11:32.253971-03,ns3.hostmar.com
1491566,sabseggroup,com.ar,sabseggroup.com.ar,2023-07-04 09:55:44.026552-03,2025-10-04 12:10:21.958323-03,2025-10-04 12:10:21.958344-03,2026-07-04 00:00:00-03,719,2013-08-20 00:00:00-03,2025-11-24 10:37:07.398592-03,dns10.servidoresdns.net
710081,denimblue,com.ar,denimblue.com.ar,2015-03-25 00:00:00-03,2025-10-11 16:35:22.524059-03,2025-10-11 16:35:22.561866-03,2026-03-25 00:00:00-03,90031,2015-03-25 00:00:00-03,2024-03-13 17:26:44.553181-03,ns21.dattatec.com
1004200,osvaldini,com.ar,osvaldini.com.ar,2019-09-06 16:47:49.435849-03,2025-10-31 12:12:01.975292-03,2025-10-31 12:12:02.024796-03,2026-09-06 00:00:00-03,179012,2019-09-06 16:47:49.235291-03,2025-08-23 23:21:53.254447-03,ns3.mysecurecloudhost.com
1491570,mendezymolinari,com.ar,mendezymolinari.com.ar,2023-07-04 08:07:56.828083-03,2025-10-04 12:11:25.51123-03,2025-10-04 12:11:25.511258-03,2026-07-04 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
1007002,rodoaguiar,com.ar,rodoaguiar.com.ar,2020-09-09 12:48:13.090837-03,2025-10-30 04:25:30.125398-03,2025-10-30 04:25:30.158769-03,2026-09-09 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
725208,cmm,com.ar,cmm.com.ar,1999-04-26 00:00:00-03,2025-10-12 12:03:51.332077-03,2025-10-12 12:03:51.369626-03,2026-05-26 00:00:00-03,96145,2014-04-23 00:00:00-03,2025-09-24 12:44:16.646565-03,ns1.mesi.com.ar
1491573,argenmetsrl,com.ar,argenmetsrl.com.ar,2023-07-05 17:13:28.465856-03,2025-10-04 12:12:02.823315-03,2025-10-04 12:12:02.823352-03,2026-07-05 00:00:00-03,346735,2016-09-16 11:32:47.131888-03,2025-08-04 13:31:15.584889-03,
